smiles,k_exp,name,category,source,doi,note,rdkit_valid,smiles_src
FC(F)(F)[Si](O)(O)O,2.47,PI + fluorinated POSS (2 wt%),silicon,Polym. Eng. Sci. 2022,10.1002/pen.26063,Trifluoropropyl POSS blended in polyimide; 1 MHz,True,literature
O=C1OC(=O)c2ccc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)cc21,2.72,6FDA-TFMB polyimide (10 GHz),fluorinated,ACS Appl. Polym. Mater. 2021,10.1021/acsapm.0c01141,"6FDA dianhydride unit; TFMB diamine; 10 GHz, Df=0.0075",True,literature
O=C1OC(=O)c2ccc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)cc21,1.84,6FDA-TFMB ultra-low-k PI,fluorinated,Eur. Polym. J. 2021,10.1016/j.eurpolymj.2020.109904,Micro-branched crosslink + fluorination; 10^4 Hz,True,literature
FC(F)(OCC1CC2CC1CC2)F,2.39,F-polynorbornene (5 GHz),fluorinated,ACS Appl. Polym. Mater. 2020,10.1021/acsapm.9b01070,"Cross-linked via -OCF=CF2 groups; 5 GHz, Df=3.7e-3",True,literature
C[Si](O)(C)O,3.0,Dense SiOC:H (CDO),silicon,J. Appl. Phys. 2008,10.1063/1.2937082,PECVD SiOC:H dense film; CH3 termination,True,literature
C[Si](O)(C)O,2.3,Porous SiOCH (32nm node),silicon,Academia.edu / ITRS,,30% porosity; 32 nm technology node target,True,literature
C[Si](O)(C)O,2.5,PECVD porous organosilicate (UV),silicon,Surf. Coat. Technol. 2007,10.1016/j.surfcoat.2007.05.036,UV post-treatment; 24-31% porosity,True,literature
C[Si](O)(C)O,1.5,Nanoporous PMSSQ (dendrimer),silicon,Nature Materials 2005,10.1038/nmat1291,Dendritic sphere imprinting; pore <2nm; k~1.5,True,literature
Nc1ccc(-c2ccc(N)cc2)cc1,3.4,Aromatic polyimide (ODA-PMDA),polymer,"Maier, Prog. Polym. Sci. 2001",10.1016/S0079-6700(00)00043-5,Representative unfluorinated PI; benchmark,True,literature
FC(F)(F)c1ccc(N)cc1,2.8,Fluorinated PI (CF3 pendant),fluorinated,"Maier, Prog. Polym. Sci. 2001",10.1016/S0079-6700(00)00043-5,CF3 substituted aromatic PI; lower k vs. unfluorinated,True,literature
